Customer_ID,Age,Gender,Income_Level,Address,Transaction_ID,Purchase_Date,Product_ID,Product_Category,Brand,Purchase_Amount,Average_Spending_Per_Purchase,Purchase_Frequency_Per_Month,Brand_Affinity_Score,Product_Category_Preferences,Month,Year,Season
a73774fe-d420-46ca-8a43-44eb51438f5e,48.0,other,High,"1412 Blake Parkway Apt. 316
Lake Rodneychester, NE 88350",c1cba058-2afd-41e4-826c-ea03c51afaad,2020-01-02,1c72a791-7b4d-4f7d-960e-7a611428a870,Books,,424.0,-0.32167709479715806,0.21219658489774934,-0.12593152769633542,Medium,1.0,1994.0,Fall
8f25e25c-75c7-4eb7-b2e2-f708dee8ef13,39.0,female,Low,"414 Lauren Mountain Suite 243
South Jessicaberg, SC 17902",638cded1-9504-4fc9-a1e1-09ee49388c8e,2020-01-03,495c76ec-35f1-4b80-86b5-b91558ffb2a5,Electronics,Brand_C,428.0,1.5242273020948367,-1.5952700667014792,0.599898603118277,Low,1.0,2001.0,Winter
228febfa-bfb5-413a-ab8a-1eeb905b36fd,40.0,female,Low,"50568 Joseph Prairie
Port Kimberlyview, ND 33279",96375f25-2e13-4e66-8e76-bbbf06760439,2020-01-04,aab09f53-a4a1-400e-932f-62120350545b,Electronics,Brand_B,407.0,-0.057976466669730255,1.2966765758572865,0.2369835377109708,High,1.0,1999.0,Fall
09427631-943f-4427-80e6-79c9da0c2613,71.0,other,High,"4363 Leslie Hills
Lake Mary, FL 20948",be33a103-bf30-4787-ad68-54a3efc8d675,2020-01-05,6cb25dba-2dd1-4724-84d0-322497ead674,Clothing,,381.0,-0.35934861310107635,-0.14929674542209637,0.9628136685255833,Low,1.0,1997.0,Spring
d8fbc8d7-7b8a-4903-85b7-630519ab33d7,40.0,male,Low,"0114 Jacob Passage Suite 324
Amandastad, NV 10194",fa0db7eb-2748-4e3d-95dc-8bf48c5dac5f,2020-01-07,878b2b79-6f19-4162-9164-953af3f6e903,Books,Brand_C,451.0,0.055038088242024524,1.2966765758572865,1.3257287339328894,Low,1.0,2015.0,Winter
294636f3-e75f-4e3b-a466-48da144e1bb1,32.0,male,Low,"241 Eaton Streets
New John, KS 46332",a06dee84-6d16-46cb-98ae-7a89834129e7,2020-01-07,2c634d1a-8bba-4176-a48b-4d71bcb6084d,,Brand_B,55.0,-1.5648371988264607,-0.8722834060617879,0.599898603118277,Low,1.0,1995.0,Summer
c54f02eb-65a5-40c7-b01b-1c82ce0ddb9a,47.0,female,Low,"PSC 1442, Box 6970
APO AP 57510",c48b0e0c-2e44-43a7-ab68-2a4c1aed88e8,2020-01-08,3526aba0-ac41-4211-abbc-5cc20b82228f,Electronics,Brand_B,221.0,-0.5100346863167494,-0.5107900757419421,-0.48884659310364165,Medium,1.0,2003.0,Spring
9d3c49ee-b6ac-46d4-98d3-ab3263c69495,56.0,male,High,"273 Jeffrey Spring
Gregoryburgh, IN 78464",8167a80b-5261-4bfb-a2a5-c9bfbd48384c,2020-01-14,469e7c7d-82fb-4eba-978d-da7a667fafda,Clothing,Brand_A,40.0,0.5824393444968802,0.9351832455374408,1.6886437993401957,Medium,1.0,1988.0,Winter
cb060efa-ce13-4947-aa80-ca5bc5eee175,70.0,male,High,"7644 Higgins Hill
Huffmanview, DC 11898",dc80014e-943a-4d59-bfcd-7b3cad70351e,2020-01-14,f266d685-a7fe-45c1-b993-b5c08b645f18,Books,Brand_A,285.0,-0.6607207595324224,0.573689915217595,-1.214676723918254,High,1.0,1977.0,Spring
b1fe6b0b-3242-4d84-b5be-660cb88802a3,20.0,female,High,"89485 Ramsey Ford Apt. 660
Scottside, WV 43497",4f6a3aed-77c3-460e-bed6-53ce2b416159,2020-01-14,28cc01cc-baeb-4145-aa82-bb5eb75c2473,Electronics,Brand_A,38.0,-0.057976466669730255,-1.5952700667014792,0.599898603118277,Medium,1.0,1986.0,Summer
